"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-10-05 07:15:52",2023-10-05
"Blue Mountains Dams","87%","2023-10-05 07:15:52",2023-10-05
"Cataract Dam","66%","2023-10-05 07:15:52",2023-10-05
"Cordeaux Dam","68%","2023-10-05 07:15:52",2023-10-05
"Fitzroy Falls Reservoir","69%","2023-10-05 07:15:52",2023-10-05
"Nepean Dam","73%","2023-10-05 07:15:52",2023-10-05
"Prospect Reservoir","83%","2023-10-05 07:15:52",2023-10-05
"Tallowa Dam","12%","2023-10-05 07:15:52",2023-10-05
"Warragamba Dam","94%","2023-10-05 07:15:52",2023-10-05
"Wingecarribee Reservoir","64%","2023-10-05 07:15:52",2023-10-05
"Woronora Dam","92%","2023-10-05 07:15:52",2023-10-05
"How Much Rain have We had?","20.8MM","2023-10-05 07:15:52",2023-10-05
"How Much Water is in Our Dams?","90%","2023-10-05 07:15:52",2023-10-05
"How Much Water have we Used","1,452ML","2023-10-05 07:15:52",2023-10-05
