"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-11 07:11:47",2023-12-11
"Blue Mountains Dams","87%","2023-12-11 07:11:47",2023-12-11
"Cataract Dam","68%","2023-12-11 07:11:47",2023-12-11
"Cordeaux Dam","64%","2023-12-11 07:11:47",2023-12-11
"Fitzroy Falls Reservoir","67%","2023-12-11 07:11:47",2023-12-11
"Nepean Dam","72%","2023-12-11 07:11:47",2023-12-11
"Prospect Reservoir","84%","2023-12-11 07:11:47",2023-12-11
"Tallowa Dam","100%","2023-12-11 07:11:47",2023-12-11
"Warragamba Dam","92%","2023-12-11 07:11:47",2023-12-11
"Wingecarribee Reservoir","62%","2023-12-11 07:11:47",2023-12-11
"Woronora Dam","90%","2023-12-11 07:11:47",2023-12-11
"How Much Rain have We had?","0.0MM","2023-12-11 07:11:47",2023-12-11
"How Much Water is in Our Dams?","88%","2023-12-11 07:11:47",2023-12-11
"How Much Water have we Used","1,510ML","2023-12-11 07:11:47",2023-12-11
