"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","81%","2023-08-26 07:13:57",2023-08-26
"Blue Mountains Dams","85%","2023-08-26 07:13:57",2023-08-26
"Cataract Dam","67%","2023-08-26 07:13:57",2023-08-26
"Cordeaux Dam","77%","2023-08-26 07:13:57",2023-08-26
"Fitzroy Falls Reservoir","74%","2023-08-26 07:13:57",2023-08-26
"Nepean Dam","73%","2023-08-26 07:13:57",2023-08-26
"Prospect Reservoir","93%","2023-08-26 07:13:57",2023-08-26
"Tallowa Dam","38%","2023-08-26 07:13:57",2023-08-26
"Warragamba Dam","95%","2023-08-26 07:13:57",2023-08-26
"Wingecarribee Reservoir","68%","2023-08-26 07:13:57",2023-08-26
"Woronora Dam","94%","2023-08-26 07:13:57",2023-08-26
"How Much Rain have We had?","0.0MM","2023-08-26 07:13:57",2023-08-26
"How Much Water is in Our Dams?","92%","2023-08-26 07:13:57",2023-08-26
"How Much Water have we Used","1,287ML","2023-08-26 07:13:57",2023-08-26
