"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-16 07:15:47",2023-11-16
"Blue Mountains Dams","84%","2023-11-16 07:15:47",2023-11-16
"Cataract Dam","68%","2023-11-16 07:15:47",2023-11-16
"Cordeaux Dam","65%","2023-11-16 07:15:47",2023-11-16
"Fitzroy Falls Reservoir","63%","2023-11-16 07:15:47",2023-11-16
"Nepean Dam","69%","2023-11-16 07:15:47",2023-11-16
"Prospect Reservoir","96%","2023-11-16 07:15:47",2023-11-16
"Tallowa Dam","0%","2023-11-16 07:15:47",2023-11-16
"Warragamba Dam","92%","2023-11-16 07:15:47",2023-11-16
"Wingecarribee Reservoir","60%","2023-11-16 07:15:47",2023-11-16
"Woronora Dam","90%","2023-11-16 07:15:47",2023-11-16
"How Much Rain have We had?","1.8MM","2023-11-16 07:15:47",2023-11-16
"How Much Water is in Our Dams?","88%","2023-11-16 07:15:47",2023-11-16
"How Much Water have we Used","1,440ML","2023-11-16 07:15:47",2023-11-16
