"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-11-24 07:16:38",2023-11-24
"Blue Mountains Dams","84%","2023-11-24 07:16:38",2023-11-24
"Cataract Dam","68%","2023-11-24 07:16:38",2023-11-24
"Cordeaux Dam","64%","2023-11-24 07:16:38",2023-11-24
"Fitzroy Falls Reservoir","63%","2023-11-24 07:16:38",2023-11-24
"Nepean Dam","69%","2023-11-24 07:16:38",2023-11-24
"Prospect Reservoir","91%","2023-11-24 07:16:38",2023-11-24
"Tallowa Dam","0%","2023-11-24 07:16:38",2023-11-24
"Warragamba Dam","91%","2023-11-24 07:16:38",2023-11-24
"Wingecarribee Reservoir","59%","2023-11-24 07:16:38",2023-11-24
"Woronora Dam","90%","2023-11-24 07:16:38",2023-11-24
"How Much Rain have We had?","3.3MM","2023-11-24 07:16:38",2023-11-24
"How Much Water is in Our Dams?","87%","2023-11-24 07:16:38",2023-11-24
"How Much Water have we Used","1,528ML","2023-11-24 07:16:38",2023-11-24
