"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-23 07:15:50",2023-08-23
"Blue Mountains Dams","85%","2023-08-23 07:15:50",2023-08-23
"Cataract Dam","67%","2023-08-23 07:15:50",2023-08-23
"Cordeaux Dam","77%","2023-08-23 07:15:50",2023-08-23
"Fitzroy Falls Reservoir","74%","2023-08-23 07:15:50",2023-08-23
"Nepean Dam","73%","2023-08-23 07:15:50",2023-08-23
"Prospect Reservoir","93%","2023-08-23 07:15:50",2023-08-23
"Tallowa Dam","44%","2023-08-23 07:15:50",2023-08-23
"Warragamba Dam","95%","2023-08-23 07:15:50",2023-08-23
"Wingecarribee Reservoir","68%","2023-08-23 07:15:50",2023-08-23
"Woronora Dam","95%","2023-08-23 07:15:50",2023-08-23
"How Much Rain have We had?","3.7MM","2023-08-23 07:15:50",2023-08-23
"How Much Water is in Our Dams?","92%","2023-08-23 07:15:50",2023-08-23
"How Much Water have we Used","1,311ML","2023-08-23 07:15:50",2023-08-23
