"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-22 07:14:33",2023-08-22
"Blue Mountains Dams","85%","2023-08-22 07:14:33",2023-08-22
"Cataract Dam","67%","2023-08-22 07:14:33",2023-08-22
"Cordeaux Dam","78%","2023-08-22 07:14:33",2023-08-22
"Fitzroy Falls Reservoir","74%","2023-08-22 07:14:33",2023-08-22
"Nepean Dam","73%","2023-08-22 07:14:33",2023-08-22
"Prospect Reservoir","93%","2023-08-22 07:14:33",2023-08-22
"Tallowa Dam","41%","2023-08-22 07:14:33",2023-08-22
"Warragamba Dam","95%","2023-08-22 07:14:33",2023-08-22
"Wingecarribee Reservoir","68%","2023-08-22 07:14:33",2023-08-22
"Woronora Dam","95%","2023-08-22 07:14:33",2023-08-22
"How Much Rain have We had?","0.0MM","2023-08-22 07:14:33",2023-08-22
"How Much Water is in Our Dams?","92%","2023-08-22 07:14:33",2023-08-22
"How Much Water have we Used","1,277ML","2023-08-22 07:14:33",2023-08-22
