"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-29 07:13:51",2023-07-29
"Blue Mountains Dams","82%","2023-07-29 07:13:51",2023-07-29
"Cataract Dam","67%","2023-07-29 07:13:51",2023-07-29
"Cordeaux Dam","82%","2023-07-29 07:13:51",2023-07-29
"Fitzroy Falls Reservoir","63%","2023-07-29 07:13:51",2023-07-29
"Nepean Dam","75%","2023-07-29 07:13:51",2023-07-29
"Prospect Reservoir","92%","2023-07-29 07:13:51",2023-07-29
"Tallowa Dam","53%","2023-07-29 07:13:51",2023-07-29
"Warragamba Dam","96%","2023-07-29 07:13:51",2023-07-29
"Wingecarribee Reservoir","69%","2023-07-29 07:13:51",2023-07-29
"Woronora Dam","96%","2023-07-29 07:13:51",2023-07-29
"How Much Rain have We had?","0.1MM","2023-07-29 07:13:51",2023-07-29
"How Much Water is in Our Dams?","92%","2023-07-29 07:13:51",2023-07-29
"How Much Water have we Used","1,327ML","2023-07-29 07:13:51",2023-07-29
