"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","81%","2023-09-03 07:13:56",2023-09-03
"Blue Mountains Dams","87%","2023-09-03 07:13:56",2023-09-03
"Cataract Dam","67%","2023-09-03 07:13:56",2023-09-03
"Cordeaux Dam","75%","2023-09-03 07:13:56",2023-09-03
"Fitzroy Falls Reservoir","73%","2023-09-03 07:13:56",2023-09-03
"Nepean Dam","73%","2023-09-03 07:13:56",2023-09-03
"Prospect Reservoir","93%","2023-09-03 07:13:56",2023-09-03
"Tallowa Dam","21%","2023-09-03 07:13:56",2023-09-03
"Warragamba Dam","95%","2023-09-03 07:13:56",2023-09-03
"Wingecarribee Reservoir","67%","2023-09-03 07:13:56",2023-09-03
"Woronora Dam","94%","2023-09-03 07:13:56",2023-09-03
"How Much Rain have We had?","0.0MM","2023-09-03 07:13:56",2023-09-03
"How Much Water is in Our Dams?","91%","2023-09-03 07:13:56",2023-09-03
"How Much Water have we Used","1,302ML","2023-09-03 07:13:56",2023-09-03
